徽章,行走天數,地點,山名,難度,總距離(km),總時間(min),爬升高度(m),下降高度(m),地形路況,型態,最低海拔(m),最高海拔(m),所屬山系,入園證,入山證,詳細資訊,行程,區域
小百岳,1,屏東縣獅子鄉,里龍山自然步道,2,7.1,269,623,416,"樹根土石山徑,林道,箭竹林",線型單向,2858,3101,玉山山脈,0,1,"里龍山-中級郊山
里龍山是恆春半島獨一無二的超過1000公尺海拔的山峰，屬於臺灣小百岳之一。這座山嶺被山林環繞著，四處都是鳥鳴聲，動植物里類豐富，還能夠偶爾瞧見珍稀動物，如藍腹鷴等。此外，這裡也是稀有珍貴的臺灣穗花衫的生長地點，是生態學者感到津津樂道的地方。
前半段的山徑比較平坦，和容易行走，但是後半段路徑就具有挑戰性。因此，里龍山也成為南部山友攀登百岳的必備之處。如果你具備中等的體力與山路經驗，那麼不要猶豫，快來挑戰這座為人稱道的中級郊山吧！
登上山頂，你可以看到一顆一等三角點，如果天氣晴朗的話，還能夠看到小琉球在藍海中獨特的美麗面貌，以及遠眺牡丹水庫橫躺於群山之間的壯麗景觀。這裡是一個遠離城市煩囂、享受大自然的好去處。","day: 紫竹林龍峰寺 @ 屏東縣 → (1.6 km, 1 h 7 m) → 溪床替代路段 @ 屏東縣 → (592 m, 29 m) → 木棧橋 @ 屏東縣 → (743 m, 31 m) → 里龍山登山路線 @ 屏東縣 → (584 m, 45 m) → 里龍山 @ 屏東縣 → (552 m, 20 m) → 里龍山登山路線 @ 屏東縣 → (605 m, 18 m) → 休憩區涼亭 @ 屏東縣 → (654 m, 19 m) → 溪床替代路段 @ 屏東縣 → (1.4 km, 38 m) → 紫竹林龍峰寺 @ 屏東縣",南
百岳,1,花蓮縣秀林鄉,合歡西峰登山步道,2,13.1,488,865,992,山徑,線型單向,2283,3145,中央山脉,1,0,被山友戲稱為「四大鳥山」之一的合歡西峰，沿途的高山草原視野開闊，其實是一條可看性很高的路線。最磨人的就是途中不停遇到的假山頭、上上下下，是一條十分需要體力與耐力才能完成的路線。,"day: 小風口登山口 → (674 m, 51 m) → .9k → (0 m, 3 m) → 玉山圓柏 → (405 m, 32 m) → 合歡北峰步道 → (56 m, 8 m) → 合歡北峰反射板 → (621 m, 24 m) → 合歡山北峰 → (2.1 km, 1 h 11 m) → 池塘營地 → (977 m, 37 m) → 峰 → (725 m, 21 m) → 西峰營地 → (47 m, 2 m) → 合歡山西峰 → (66 m, 2 m) → 西峰營地 → (768 m, 30 m) → 峰 → (1 km, 28 m) → 池塘營地 → (2.1 km, 1 h 47 m) → 合歡山北峰 → (745 m, 25 m) → 合歡北峰步道 → (406 m, 16 m) → .9k → (667 m, 26 m) → 小風口登山口",東
百岳,1,高雄市桃源區,庫哈諾辛山,2,5.6,281,726,1702,"石階,枕木階",線型雙向,2158,3115,雪山山脈,1,0,庫哈諾辛山、關山嶺山與塔關山合稱「南橫三星」，屬於中央山脈中段之末，位處玉山國家公園範圍內，其登山口是由南橫公路進逕橋旁小徑入山，是「南橫三星」中難度最高的一座。,"day: 庫哈諾辛山登山口 → (1.2 km, 1 h 54 m) → 庫哈諾辛山屋 → (1.5 km, 1 h 4 m) → 庫哈諾辛山 → (2.7 km, 1 h 43 m) → 庫哈諾辛山登山口",南
百岳,1,南投縣仁愛鄉,合歡西峰下華崗,3,14.4,524,1091,1660,步道,線型雙向,2610,3145,玉山山脈,1,1,合歡西峰以路途遙遠、需翻越多個多個山頭而聞名，尤其回程更是辛苦。因此部分山友會選擇由華崗下山，但因需過合歡溪，必須慎重考量腳程與天候，以免增加危險。,"day: 開始登山 → (2 km, 1 h 21 m) → 北峰頂抵達 → (6 m, 27 m) → 出發前往西峰 → (3.1 km, 2 h 5 m) → 華崗岔路，小休後往西峰 → (812 m, 33 m) → 合歡西峰頂 → (801 m, 49 m) → 回到華崗岔路，午餐 → (33 m, 28 m) → 出發下華崗方向 → (1.7 km, 1 h 29 m) → 下到合歡溪 → (4.9 km, 1 h 28 m) → 抵達華崗圓環結束登山",中
百岳,1,南投縣仁愛鄉,合歡西稜,2,10.4,341,310,273,箭竹矮坡,縱走,2638,3145,中央山脉,0,1,「合歡西稜」是一條引領遊客從合歡主峰到梅松山的稜線路線。攀爬箭竹草坡是全程必須的艱辛，但這條路線充滿了壯麗的風景，可以欣賞到合歡山群峰、守城大山、白姑大山以及雪山山脈。從合歡主峰開始，路線落差不小，攀爬難度較大，需要緊抓著箭竹輔助前進。不過攀爬路徑兩旁是活水源的溪澗，讓遊客得以補充飲水。而且沿途還有寬闊平坦的營地供遊客紮營。攀升到3085峰後，可以從山上看到紅香部落。之後，路線逐漸緩降至梅松山，山頭被林木所覆蓋，需要穿過密林才能夠到達力行產業道路支線上的登山口。總體而言，「合歡西稜」是一條攀爬難度較高、但風景美麗的行程，能夠挑戰遊客的腳力和體力，相信會帶給你一次難忘的登山體驗。,"day: 合歡主峰登山口 → (850 m, 38 m) → 合歡主峰 (3416) @ 南投縣 → (512 m, 25 m) → 合歡主峰 → (1.8 km, 51 m) → 合歡山西北峰 @ 南投縣 → (2.2 km, 1 h 17 m) → 巴魯莫安山 @ 南投縣 → (1.5 km, 44 m) → 三等三角點 6392 @ 南投縣 → (725 m, 27 m) → 梅松山步道 @ 南投縣 → (687 m, 22 m) → 梅松山步道 @ 南投縣 → (720 m, 20 m) → 梅松山步道 @ 南投縣 → (1.2 km, 34 m) → 梅松山登山口",中
百岳,1,花蓮縣秀林鄉,天巒池下武法奈尾山出將軍廟,1,8.6,303,449,1300,"溪谷,木梯,原始山徑,岩壁,碎石坡",線型單向,1945,3025,中央山脈,0,0,"天巒池登山步道
天巒池登山步道位於武法奈尾山上。登上山頂後，您會被眼前的景色深深吸引。天巒池的湖面彎弧如月，如鏡般晶瑩，蔚藍的天空映照在湖面上，讓人一時忘卻紛擾。如果您在傍晚時分來到這裡，壯麗的雲霧籠罩天巒池，呈現出迷人的仙境景色。
您可以找個地方坐下來，靜靜欣賞湖中的倒木，感受時光在此凝結。在這個留戀自然的環境中，您的靈魂會得到療癒。
從武法奈尾山往北行，只需10分鐘就可以登頂。登上山頂後，您可以回望合歡北峰，遠眺雪山聖稜線、雪山西稜線、北一段和北二段。在這裡，您可以盡情欣賞秀麗的山巒風光。
在下山的路上，您可以往東營大將軍廟方向前進。沿途的路是柔軟有彈性的松針地毯，陽光在二葉松林間跳躍起舞。這種愜意和平靜勾引著您的靈魂，仿佛您已融入大自然的懷抱中。
天巒池登山步道這裡景色壯麗，非常適合愛好大自然的朋友。記得提前安排時間前來，讓自己享受一次融入大自然的愜意旅程。","day: 合歡山北峰登山口 → (653 m, 47 m) → 里程1.0k → (1.1 km, 58 m) → 里程1.5k → (800 m, 24 m) → 水源叉路 → (613 m, 19 m) → 廢電桿 → (716 m, 23 m) → 天巒池 @ 南投縣 → (997 m, 30 m) → T字路口 → (1.7 km, 49 m) → Huirong Lane @ 南投縣 → (1.8 km, 50 m) → 東營將軍廟",東
百岳,1,南投縣仁愛鄉,畢祿山步道,3,19.7,786,1490,2000,山徑,單攻,1860,3371,雪山山脈,1,0,畢祿山是「中橫四辣」中的「中辣」，由 820 林道進入，經 8.4 公里後，最後 2 公里需陡上 800 公尺，對體力有十足挑戰。畢祿山可安排一日往返、或與鄰近的羊頭山安排為畢羊縱走。山頂展望良好，可一覽合歡群峰、奇萊連峰、北一段、北二段、無明大崩壁等山景。,"day: 林道入口 → (7.3 km, 4 h 9 m) → 工寮 → (826 m, 32 m) → 登山口營地 → (1.5 km, 2 h 39 m) → 畢祿山 → (9.8 km, 5 h 46 m) → 林道入口",中
百岳,1,臺中市和平區,志佳陽大山,3,15.9,614,1671,1388,山徑,線型單向,1899,3345,雪山山脈,1,0,"被許多山友稱之為「單攻聖品」的志佳陽大山，在前 3.1 公里都是平路與緩坡，但剩下的 4.7 公里，必須一路陡上 1,700 公尺，十分挑戰腳力，因此也被暱稱為「治腳癢」。一切的辛苦在抵達最高峰處都得到了回報——360 度無死角的美景，可眺望雪山、武陵四秀、北一段、北二段群山環繞，十分享受！","day: 開始登山-四季蘭溪吊橋 → (0 m, 2 m) → 入園信箱📪 → (531 m, 9 m) → 看到此牌岔路處取左(目前已有新鋪的碎石路，不需高繞或下切) → (0 m, 1 m) → 鐵皮屋(直接穿越） → (0 m, 1 m) → 流籠頭 → (161 m, 4 m) → 鐵棧橋 → (332 m, 5 m) → 岔路處取左(往雪山主峰方向) → (0 m, 1 m) → 岔路處取左 → (139 m, 4 m) → 1.8K處 → (0 m, 1 m) → 棧橋一號 → (101 m, 4 m) → 棧橋二號 → (185 m, 5 m) → 棧橋三號 → (21 m, 2 m) → 攀繩處 → (550 m, 11 m) → 3K處 → (0 m, 1 m) → 棧橋毀損四號 → (0 m, 3 m) → 3.1K處-營地 → (758 m, 1 h 11 m) → 4K處 → (734 m, 54 m) → 5K處 → (815 m, 1 h 5 m) → 6K處 → (37 m, 1 m) → 賽良久營地 → (732 m, 1 h 14 m) → 6.9K 馬武霸山叉路處 → (36 m, 5 m) → 7K處 → (198 m, 18 m) → 瓢簞山屋叉路 → (458 m, 34 m) → 志佳陽大山三等三角點 3289M(休息等夥伴 → (207 m, 1 h 28 m) → 志佳陽最高峰 3345M(吃中餐 → (0 m, 1 h 2 m) → 開始登山-3389M回程 → (1.3 km, 59 m) → 回程-賽良久營地 → (2.3 km, 2 h 27 m) → 回程-3.1K營地(白天視角 → (592 m, 28 m) → 回程-志佳陽三號棧橋 → (182 m, 3 m) → 回程-志佳陽二號棧橋 → (510 m, 9 m) → 回程-叉路取左(白天視角 → (0 m, 2 m) → 回程-叉路處往雪主方向(白天視角 → (264 m, 5 m) → 回程-右邊鐵橋處(白天視角 → (52 m, 4 m) → 回程-流籠頭(白天視角 → (0 m, 1 m) → 回程-鐵皮屋(白天視角 → (0 m, 0 s) → 回程-不需高繞及下切點，挖土機已開一條碎石路(白天視角 → (663 m, 14 m) → 回程終點-四季蘭溪吊橋",中
百岳,2,南投縣信義鄉,郡大山登山步道,1,7.2,244,437,1397,"山徑,碎石坡",線型雙向,2576,3263,玉山山脈,0,0,郡大山位於南投縣信義鄉，為百岳「八秀」之一，路線難度不高，但需經由路況不佳的郡大林道前往，常被山友戲稱為「坐車比爬山累」。途經望鄉山與郡大山北峰，抵達三角點後可欣賞玉山群峰、西巒大山、干卓萬群峰等百岳環繞大景，近年來也成為一條熱門的初階百岳路線。,"day: 郡大山登山口 → (506 m, 29 m) → 望鄉山 → (1.6 km, 1 h 16 m) → 郡大山北峰 → (1.4 km, 39 m) → 郡大山 → (3.5 km, 1 h 39 m) → 郡大山登山口",中
百岳,2,苗栗縣泰安鄉,雪山主東峰步道,3,19.3,826,1767,2164,"自然山徑,產道",環狀,1109,3886,雪山山脈,1,1,雪山主峰為臺灣第二高峰，大眾化的雪山主東峰是初階的百岳路線，一般由武陵農場內的大水池登山口出發，行經七卡山莊、哭坡後，可抵達雪山東峰，此處展望極佳，並設有一直升機停機坪，可選擇一日輕裝來回東峰。<br>繼續前行會抵達三六九山莊，在此過夜一晚後，隔日循步道進入俗稱「黑森林」的冷杉純林，出森林後雪山一號圈谷即在眼前，可親身體會其壯闊。,"day: 雪山大水池登山口 → (1.6 km, 1 h 42 m) → 七卡山莊 → (1.4 km, 1 h 49 m) → 哭坡觀景台 → (944 m, 48 m) → 雪山東峰 → (1.8 km, 59 m) → 三六九山莊

day: 三六九山莊 → (1.2 km, 1 h 11 m) → 黑森林 → (1.1 km, 1 h 26 m) → 雪山一號圈谷 → (480 m, 38 m) → 雪山主峰 → (411 m, 18 m) → 雪山一號圈谷 → (1.1 km, 47 m) → 黑森林 → (1.2 km, 49 m) → 三六九山莊 → (2.7 km, 1 h 30 m) → 哭坡觀景台 → (1.4 km, 52 m) → 七卡山莊 → (1.6 km, 52 m) → 雪山大水池登山口",中
百岳,2,嘉義縣阿里山鄉,玉山主峰步道,2,18.8,797,1660,1536,"石階步道,碎石路,岩石路",線型單向,2590,3952,玉山山脈,1,1,"玉山，臺灣的第一高峰，為百岳之首，海拔 3,952 公尺，也是東北亞最高峰。位於臺灣的中部，四周群峰環繞，被視為臺灣群山之首。玉山擁有雄偉的山容和絕佳的展望，沿途更可見豐富的林相變化，登頂後可觀賞絕美的日出景色和雲海，讓登頂玉山成為了許多人心中「一生必做的三件事」之一。一般由塔塔加登山口起登前往，沿途步道維護良好，山景變化萬千，漫步其中堪為一大享受。","day: 玉山登山口 → (1.3 km, 1 h 9 m) → 孟祿亭 → (1 km, 43 m) → 玉山前峰登山口 → (2.1 km, 1 h 42 m) → 白木林休憩亭 → (3 km, 2 h 22 m) → 排雲山莊

day: 排雲山莊 → (572 m, 41 m) → 圓峰叉路口 → (967 m, 56 m) → 主北叉路 → (158 m, 16 m) → 玉山主峰 → (841 m, 1 h 4 m) → 排雲山莊 → (2 km, 1 h 39 m) → 白木林休憩亭 → (2.1 km, 1 h 12 m) → 玉山前峰登山口 → (931 m, 43 m) → 孟祿亭 → (1.3 km, 46 m) → 玉山登山口",南
百岳,2,臺東縣海端鄉,關山嶺山至魔保來山縱走,2,12.6,555,1163,1163,"原始山徑,稜線路",縱走,2704,3176,中央山脉,0,1,魔保來山是登山界著名的三魔之一，與高雄縣桃源鄉的魔界碗山和宜蘭縣大同鄉的魔葉名病山並列。這座山以其360度的全景視野而聞名，是欣賞南橫百岳群山壯麗景色的最佳觀景平台。此路線屬探勘路線，是南台灣極據挑戰性的登山路線之一。,"day: 關山嶺山登山口 → (1.3 km, 1 h 51 m) → 關山嶺山 → (1.9 km, 1 h 23 m) → 小營地 → (917 m, 34 m) → 看天池營地

day: 看天池營地 → (625 m, 22 m) → 魔保來山 → (4.3 km, 2 h 43 m) → 向陽山屋 @ 臺東縣 → (3.4 km, 2 h 24 m) → 向陽國家森林遊樂區 @ 臺東縣",東
百岳,2,花蓮縣秀林鄉,屏風山步道,3,14.1,1096,2083,2083,"岩屑坡,原始山徑,稜線路",線型單向,2480,3250,中央山脈,1,1,"屏風山位於太魯閣國家公園境內，由合歡山區遠眺有如一座屏風，因而得名。海拔 3,250 公尺，為百岳之一，也是「中橫四辣」中的「大辣」，單攻難度高，若時間許可建議可安排二至三日行程較為寬裕。","day: 開始登山 → (1.3 km, 1 h 18 m) → 休息 → (185 m, 17 m) → 溪谷 → (116 m, 29 m) → 抖上 → (830 m, 1 h 21 m) → 扎營

day: 第二天 → (494 m, 19 m) → 水源 → (278 m, 12 m) → 標記50 → (3.2 km, 4 h 46 m) → 寬廣景觀 → (5.8 km, 6 h 38 m) → 抖上 → (1.4 km, 2 h 36 m) → 下山",東
百岳,2,宜蘭縣大同鄉,武陵二秀：桃山與喀拉業山,3,16.9,731,1686,2000,山徑,單攻,1860,3325,雪山山脈,1,0,桃山峰頂有如桃尖一般，因此得名桃山；喀拉業山則是四秀中最矮的一座，也是路途最遙遠的一座，有臺灣百岳「四大鳥山」之一的稱號。,"day: 武陵山莊 → (1.1 km, 41 m) → 松濤亭 → (4.1 km, 5 h 25 m) → 桃山山屋

day: 桃山山屋 → (171 m, 8 m) → 桃山 → (1.5 km, 38 m) → 詩崙山 → (1.3 km, 35 m) → 喀拉業山 → (1.3 km, 44 m) → 詩崙山 → (1.5 km, 50 m) → 桃山 → (155 m, 6 m) → 桃山山屋 → (4.2 km, 2 h 32 m) → 松濤亭 → (1 km, 29 m) → 武陵山莊",北
百岳,2,新竹縣尖石鄉,桃山步道,3,11.1,554,1445,1445,"山徑,箭竹坡,稜線路",線型單向,1860,3325,雪山山脈,1,0,"山容壯麗的桃山與品田、池有、喀拉業並稱「武陵四秀」，四座山頭並列於武陵農場北方，是臺灣最有名的百岳路線之一。前往桃山的路徑，由桃山瀑布進入，穿越之字形的松針防火道，路線一路陡上，單程 7.9 公里的路程需要爬升 1,400 多公尺，是具挑戰性的路線。然而登頂後可以享受絕佳展望，聖稜線、大霸、南湖群峰一覽無遺。","day: [D1]武陵山莊 → (871 m, 45 m) → [D1]松濤亭 → (3.1 km, 5 h 40 m) → [D1]桃山山屋

day: [D2]桃山山屋 → (242 m, 9 m) → [D2]桃山 → (0 m, 0 s) → [D2]桃山 → (242 m, 7 m) → [D2]桃山山屋 → (3.1 km, 2 h 3 m) → [D2]松濤亭 → (871 m, 29 m) → [D2]武陵山莊",北
百岳,2,南投縣信義鄉,玉山主峰與北峰,3,24,1069,1689,1689,"石階步道,碎石路,岩石路",線型單向,2590,3952,玉山山脈,1,1,玉山北峰為臺灣八秀之首，峰頂有臺灣最高中央氣象局氣象站，也是臺灣最高建築物。,"day: 開始登山 → (6.8 km, 4 h 23 m) → 抵達排雲山莊

day: 起登 → (3.2 km, 4 h 39 m) → 玉山北峰 → (2.2 km, 3 h 31 m) → 玉山主峰 → (0 m, 1 h 49 m) → 忘記按下山了 → (854 m, 30 m) → 抵達排雲 → (7.6 km, 5 h 1 m) → 出玉山登山口 → (2.9 km, 59 m) → 安全下山",中
